soft_skill_id,student_id,communication,teamwork,presentation,leadership,critical_thinking,interpersonal_skills
151,151,42,89,84,93,84,72
152,152,53,79,47,74,50,79
153,153,59,71,58,48,98,41
154,154,73,86,73,58,96,61
155,155,98,45,90,48,64,73
156,156,66,80,100,92,71,68
157,157,54,90,79,57,89,85
158,158,76,97,53,80,46,85
159,159,88,62,61,47,47,62
160,160,42,73,93,53,59,82
161,161,89,79,79,93,98,78
162,162,41,68,79,67,48,75
163,163,100,44,65,78,86,42
164,164,65,51,55,79,45,86
165,165,97,64,91,58,61,63
166,166,59,89,69,90,87,41
167,167,56,92,46,97,52,49
168,168,84,89,90,48,95,90
169,169,66,52,65,86,95,47
170,170,90,40,94,84,98,51
171,171,50,92,63,78,91,55
172,172,90,47,76,92,70,96
173,173,62,51,76,52,95,85
174,174,77,50,68,56,98,100
175,175,73,55,80,83,70,85
176,176,91,73,95,79,50,58
177,177,85,80,44,52,59,56
178,178,50,57,44,62,64,95
179,179,65,55,53,97,85,45
180,180,78,48,82,74,96,75
181,181,46,59,40,89,91,88
182,182,84,70,78,68,97,100
183,183,98,86,45,84,58,79
184,184,83,65,43,56,85,86
185,185,54,92,78,64,67,47
186,186,95,89,62,81,96,45
187,187,64,58,61,57,95,91
188,188,93,63,41,75,40,68
189,189,85,77,71,72,75,73
190,190,63,46,41,88,48,56
191,191,53,96,42,83,85,100
192,192,85,67,94,62,61,79
193,193,70,74,62,67,100,83
194,194,55,57,50,54,88,68
195,195,96,53,99,88,41,69
196,196,55,80,45,84,74,55
197,197,82,87,100,60,62,100
198,198,82,79,86,85,90,62
199,199,72,79,46,80,59,75
200,200,44,82,41,78,78,42
201,201,64,57,45,55,51,73
202,202,94,42,43,51,71,45
203,203,99,41,52,89,75,58
204,204,67,86,86,40,80,51
205,205,40,53,72,45,87,78
206,206,54,65,46,83,55,48
207,207,57,98,93,64,93,77
208,208,82,76,62,60,100,80
209,209,80,95,49,48,70,89
210,210,97,48,91,76,96,82
211,211,82,94,70,44,79,79
212,212,49,64,92,44,70,77
213,213,40,44,55,62,83,82
214,214,74,51,89,67,58,54
215,215,91,40,88,90,49,100
216,216,68,41,42,90,60,75
217,217,54,92,77,41,71,73
218,218,66,80,50,94,47,97
219,219,79,65,86,66,50,89
220,220,90,66,87,91,96,95
221,221,46,95,45,95,63,69
222,222,71,73,86,91,77,42
223,223,55,92,54,83,68,70
224,224,90,50,71,69,45,57
225,225,66,100,82,50,55,79
226,226,70,66,50,40,89,79
227,227,74,74,76,71,58,49
228,228,99,57,48,97,43,93
229,229,77,56,87,92,84,96
230,230,52,90,54,44,50,65
231,231,68,58,43,68,92,75
232,232,55,51,67,42,99,91
233,233,94,95,70,62,91,86
234,234,45,66,85,96,74,45
235,235,40,84,75,79,70,50
236,236,52,76,99,82,69,66
237,237,97,78,40,57,99,75
238,238,100,47,93,54,46,60
239,239,96,59,78,65,90,94
240,240,95,69,92,74,92,86
241,241,68,70,95,81,80,65
242,242,48,92,88,78,77,66
243,243,41,65,99,93,67,71
244,244,60,70,54,76,51,46
245,245,96,93,87,57,54,43
246,246,95,94,40,68,93,61
247,247,46,82,50,77,63,47
248,248,95,82,90,74,54,41
249,249,84,67,43,45,42,67
250,250,72,67,73,50,66,44
251,251,48,56,74,87,50,85
252,252,46,93,63,82,53,74
253,253,82,71,50,97,79,84
254,254,71,76,82,64,70,58
255,255,42,52,60,82,70,70
256,256,85,64,43,45,82,45
257,257,76,53,68,41,84,44
258,258,81,86,44,91,78,94
259,259,94,97,90,42,43,90
260,260,88,65,42,66,50,49
261,261,46,63,47,77,68,67
262,262,57,86,74,55,43,40
263,263,99,89,79,56,81,47
264,264,47,83,87,80,42,83
265,265,87,42,67,91,78,49
266,266,69,100,89,78,92,91
267,267,65,50,50,95,73,99
268,268,79,41,99,47,59,89
269,269,46,46,85,47,41,80
270,270,80,41,93,58,48,61
271,271,61,57,94,73,53,61
272,272,46,55,64,88,89,54
273,273,60,74,55,78,71,40
274,274,89,76,73,86,54,68
275,275,44,98,69,70,51,92
276,276,91,76,90,90,83,52
277,277,55,87,74,70,77,83
278,278,60,69,56,40,87,80
279,279,69,67,99,50,86,68
280,280,86,97,96,41,100,99
281,281,43,59,67,47,46,42
282,282,41,55,74,47,58,79
283,283,53,93,67,49,63,44
284,284,89,40,41,56,66,65
285,285,72,74,98,100,55,54
286,286,69,51,76,96,55,78
287,287,50,53,85,57,44,92
288,288,72,92,59,98,53,77
289,289,75,48,86,68,66,63
290,290,48,99,58,66,53,42
291,291,98,59,88,46,54,73
292,292,85,42,49,58,68,43
293,293,77,78,88,43,64,73
294,294,82,54,87,69,59,47
295,295,68,68,41,75,86,59
296,296,49,63,76,48,87,92
297,297,82,78,48,76,76,70
298,298,47,90,71,41,70,85
299,299,47,54,73,81,94,88
300,300,76,86,47,67,84,47
301,301,53,46,78,74,41,88
302,302,45,42,52,99,43,57
303,303,92,93,61,94,83,70
304,304,68,80,99,46,90,49
305,305,70,99,71,57,42,91
306,306,42,77,55,57,63,97
307,307,65,48,41,87,90,81
308,308,95,77,92,42,75,79
309,309,50,83,97,57,70,57
310,310,69,53,76,53,45,95
311,311,47,40,44,61,46,76
312,312,42,74,84,43,70,97
313,313,65,52,50,94,80,45
314,314,61,46,88,42,40,96
315,315,40,45,93,64,63,96
316,316,46,86,97,84,86,69
317,317,81,58,72,65,58,78
318,318,44,76,91,67,92,63
319,319,43,55,46,60,60,81
320,320,87,89,87,84,40,76
321,321,56,90,76,63,99,59
322,322,90,83,89,91,84,63
323,323,53,61,68,95,41,53
324,324,73,79,64,59,56,84
325,325,61,62,82,77,77,60
326,326,40,75,72,86,48,70
327,327,95,98,93,54,99,90
328,328,43,88,85,41,94,46
329,329,71,45,78,87,88,91
330,330,54,95,64,95,50,51
331,331,73,55,59,52,54,76
332,332,52,100,79,51,74,93
333,333,74,47,91,85,64,91
334,334,77,88,40,40,44,47
335,335,95,48,91,90,87,56
336,336,77,69,43,99,99,93
337,337,41,100,56,56,62,63
338,338,99,60,74,72,49,74
339,339,53,51,84,57,72,41
340,340,82,74,87,76,70,57
341,341,95,73,86,74,68,74
342,342,73,59,43,51,94,92
343,343,82,95,71,67,87,56
344,344,66,48,64,53,81,49
345,345,56,62,86,90,92,77
346,346,100,97,87,91,61,64
347,347,60,59,60,55,77,66
348,348,64,99,55,89,61,69
349,349,53,61,42,53,42,73
350,350,43,43,53,78,99,60
351,351,82,55,92,93,96,87
352,352,89,64,43,44,68,68
353,353,51,65,71,73,82,69
354,354,90,71,46,50,67,57
355,355,63,92,91,100,94,40
356,356,75,95,100,77,63,87
357,357,64,61,81,89,96,66
358,358,66,55,54,64,92,69
359,359,67,75,57,93,82,98
360,360,71,57,63,78,95,73
361,361,80,64,58,50,66,78
362,362,56,78,51,67,45,42
363,363,57,50,47,51,56,67
364,364,43,91,43,63,54,91
365,365,84,73,64,54,80,71
366,366,77,55,84,89,89,84
367,367,94,63,64,85,85,93
368,368,59,83,51,66,98,53
369,369,66,78,84,48,62,98
370,370,90,78,63,70,55,84
371,371,45,98,51,74,55,56
372,372,72,87,70,69,72,56
373,373,79,42,53,43,56,69
374,374,63,92,67,83,83,70
375,375,88,96,49,72,89,44
376,376,44,77,67,56,72,81
377,377,78,73,54,62,89,68
378,378,65,40,95,72,71,81
379,379,80,96,52,69,44,91
380,380,78,75,90,60,55,78
381,381,72,47,58,86,60,54
382,382,44,87,41,40,49,61
383,383,57,75,92,75,97,70
384,384,71,90,45,77,53,96
385,385,58,45,95,88,44,43
386,386,42,66,95,44,99,83
387,387,67,80,60,64,54,46
388,388,64,65,77,44,96,98
389,389,45,73,76,60,71,40
390,390,97,47,51,69,42,96
391,391,77,97,44,56,72,43
392,392,96,79,43,53,90,95
393,393,49,92,61,52,84,87
394,394,42,90,73,90,55,92
395,395,89,85,90,43,56,65
396,396,59,63,71,90,89,78
397,397,56,100,67,78,41,87
398,398,65,63,92,50,99,96
399,399,79,53,61,91,63,100
400,400,58,83,48,73,90,75
401,401,66,69,87,40,85,47
402,402,91,94,44,97,71,100
403,403,54,45,47,67,87,56
404,404,86,61,44,54,77,80
405,405,48,55,57,51,57,68
406,406,61,83,87,72,44,45
407,407,99,40,70,100,62,42
408,408,99,70,79,97,79,93
409,409,55,72,98,51,78,73
410,410,42,79,41,84,52,65
411,411,97,87,43,40,83,60
412,412,80,93,85,54,91,95
413,413,76,86,58,87,92,68
414,414,74,100,81,59,68,96
415,415,45,83,99,53,63,44
416,416,66,75,71,46,69,40
417,417,75,40,90,41,100,99
418,418,59,96,83,54,87,68
419,419,90,79,51,51,65,47
420,420,79,60,93,58,43,56
421,421,75,84,64,46,86,69
422,422,48,66,94,71,97,71
423,423,92,50,85,80,82,53
424,424,95,42,78,75,54,95
425,425,53,93,50,95,97,55
426,426,67,71,53,42,76,71
427,427,76,86,84,70,94,92
428,428,74,67,43,70,64,82
429,429,61,87,45,95,54,52
430,430,87,92,71,96,48,52
431,431,63,57,43,76,56,74
432,432,85,92,51,42,91,46
433,433,83,46,77,51,54,48
434,434,74,55,54,91,80,72
435,435,96,59,56,69,99,89
436,436,72,78,79,66,62,60
437,437,93,48,79,86,59,88
438,438,92,67,90,41,90,66
439,439,92,90,90,66,55,73
440,440,45,68,44,80,91,63
441,441,81,63,94,70,71,76
442,442,78,53,54,51,89,42
443,443,62,68,43,42,65,46
444,444,52,71,41,85,68,99
445,445,51,73,59,100,93,44
446,446,92,97,94,86,43,65
447,447,93,96,62,73,90,42
448,448,99,76,47,97,88,68
449,449,62,58,87,48,90,93
450,450,99,57,82,84,42,95
451,451,60,64,71,48,62,84
452,452,42,58,56,48,44,54
453,453,99,48,72,53,71,91
454,454,42,65,83,90,87,96
455,455,46,80,97,64,75,58
456,456,42,93,40,71,97,40
457,457,90,93,81,79,77,41
458,458,87,67,84,90,65,89
459,459,48,73,66,62,59,68
460,460,76,85,91,59,61,84
461,461,77,68,45,63,56,92
462,462,77,51,78,43,75,80
463,463,98,44,78,72,53,72
464,464,66,43,99,47,51,96
465,465,62,90,65,71,64,51
466,466,76,47,69,60,68,47
467,467,71,75,77,49,40,47
468,468,71,64,97,82,71,67
469,469,55,59,44,70,96,53
470,470,75,75,96,97,41,85
471,471,71,63,50,81,75,56
472,472,49,55,49,89,51,57
473,473,81,82,89,74,96,66
474,474,76,58,65,65,95,97
475,475,67,51,81,92,82,40
476,476,61,82,69,79,46,93
477,477,50,55,99,89,40,60
478,478,84,64,57,86,55,93
479,479,58,59,87,93,72,49
480,480,90,99,61,81,92,86
481,481,65,49,70,64,43,43
482,482,94,74,40,57,46,92
483,483,88,56,86,45,99,44
484,484,76,65,62,61,54,97
485,485,61,84,85,68,69,44
486,486,77,59,99,55,52,54
487,487,60,48,96,46,93,61
488,488,97,80,56,80,90,94
489,489,90,54,60,73,94,63
490,490,58,97,80,96,48,45
491,491,79,94,95,100,93,96
492,492,59,40,78,43,90,94
493,493,58,80,55,57,67,70
494,494,48,43,57,57,81,86
495,495,94,93,66,50,53,55
496,496,54,56,93,60,85,63
497,497,89,74,86,58,66,40
498,498,74,97,99,87,96,54
499,499,82,46,64,62,84,65
500,500,52,56,99,86,53,52
